   0	32	mu+
   1	23	mu+
   1	34	gamma
   2	22	mu+
   3	24	mu+
   4	33	mu+
   4	33	e-
   4	33	e-
   4	33	e-
   4	33	e-
   5	23	mu+
   5	23	mu+
   6	32	mu+
   7	32	mu+
   7	32	mu+
   7	32	mu+
   7	32	e-
   7	32	e-
   7	32	e-
   7	32	e-
   8	24	mu+
   8	24	mu+
   8	24	e-
   8	24	e-
   9	22	mu+
  10	43	mu+
  11	43	mu+
  11	43	mu+
  12	42	mu+
  12	42	mu+
  13	42	mu+
  14	14	mu+
  15	41	mu+
  16	24	mu+
  17	34	mu+
  18	22	mu+
  18	12	e-
  18	12	e-
  18	12	e-
  18	12	e-
  18	12	e-
  18	12	e-
  18	12	e-
  18	12	e-
  18	12	e-
  19	42	mu+
  20	35	mu+
  21	44	mu+
  22	13	mu+
  23	44	mu+
  23	44	mu+
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  23	44	e-
  24	45	mu+
  25	22	mu+
  26	23	mu+
  27	31	mu+
  28	33	mu+
  28	33	mu+
  29	23	mu+
  30	45	mu+
  30	45	mu+
  30	45	e-
  30	45	e-
  30	45	e-
  30	35	e-
  30	35	e-
  30	35	e-
  30	35	e-
  30	35	e-
  31	34	mu+
  32	32	mu+
  32	32	mu+
  32	32	e-
  32	32	e-
  32	32	e-
  33	31	mu+
  33	31	mu+
  33	31	e-
  34	22	mu+
  35	31	mu+
  36	24	mu+
  36	24	mu+
  36	24	e-
  37	22	mu+
  38	23	mu+
  38	23	mu+
  38	23	e-
  38	23	e-
  39	43	mu+
  40	42	mu+
  41	23	mu+
  42	44	mu+
  42	44	mu+
  42	44	e-
  43	35	mu+
  44	13	mu+
  45	32	mu+
  46	31	mu+
  47	32	mu+
  48	45	mu+
  49	24	mu+
  50	23	mu+
  50	23	mu+
  50	23	e-
  50	23	e-
  51	23	mu+
  51	23	mu+
  51	23	mu+
  52	34	mu+
  53	14	mu+
  53	14	mu+
  53	14	e-
  54	34	mu+
  54	34	mu+
  54	34	e-
  55	22	mu+
  56	21	mu+
  56	21	mu+
  56	21	mu+
  56	21	e-
  56	21	e-
  56	21	e-
  56	21	e-
  56	21	e-
  57	22	mu+
  57	22	mu+
  57	22	e-
  57	22	e-
  57	22	e-
  57	22	e-
  58	22	mu+
  59	35	mu+
  60	33	mu+
  61	44	mu+
  62	33	mu+
  62	33	mu+
  62	33	e-
  62	33	e-
  62	33	e-
  62	33	e-
  63	42	mu+
  64	41	mu+
  65	32	mu+
  65	32	mu+
  65	32	e-
  66	23	mu+
  67	35	mu+
  68	42	mu+
  69	43	mu+
  69	43	mu+
  69	43	e-
  70	32	mu+
  71	31	mu+
  72	34	mu+
  73	33	mu+
  74	23	mu+
  75	42	mu+
  76	24	mu+
  77	32	mu+
  77	32	mu+
  77	32	e-
  77	32	e-
  77	32	e-
  77	32	e-
  77	32	e-
  77	32	e-
  77	32	e-
  77	32	e-
  77	32	e-
  77	32	e-
  78	44	mu+
  79	43	mu+
  80	52	mu+
  81	23	mu+
  82	45	mu+
  83	24	mu+
  84	24	mu+
  85	22	mu+
  86	45	mu+
  86	45	mu+
  86	45	e-
  86	45	e-
  87	43	mu+
  88	14	mu+
  89	41	mu+
  90	24	mu+
  90	24	mu+
  91	32	mu+
  91	32	mu+
  91	32	e-
  92	42	mu+
  93	23	mu+
  94	32	mu+
  95	53	mu+
  95	53	mu+
  95	53	e-
  95	53	e-
  95	53	e-
  95	53	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  95	52	e-
  96	52	mu+
  97	35	mu+
  97	35	mu+
  97	35	e-
  97	35	e-
  97	35	e-
  98	43	mu+
  99	23	mu+
 100	23	mu+
 101	42	mu+
 101	42	mu+
 102	43	mu+
 103	13	mu+
 104	21	mu+
